135;;Ariary;;"";;;;
137;;Denar;;"";;;;
140;;Kyat;;"";;;;
141;;Tögrög;;"";;;;
142;;Pataca;;"";;;;
144;;Ouguiya;;"";;;;
146;;Rupee;;"";;;;
147;;Rupee;;"";1981-12-31;148;;
148;;Rufiyaa;;"";;;;
149;;Kwacha;;"";;;;
150;;Peso;;"";;;;
151;;Peso;;"";1993-03-31;150;;
152;;Ringgit;;"";;;;
154;;Metical;;"";;;;
155;$;Dollar;;"";;;;
156;;Naira;;"";;;;
158;;Córdoba;;"";;;;
160;;Krone;;"";;;;
161;;Rupee;;"";;;;
162;$;Dollar;;"";;;;
163;;Rial;;"";;;;
164;;Balboa;;"";;;;
167;;Sol;;"";;;;
168;;Kina;;"";;;;
169;;Peso;;"";;;;
170;;Rupee;;"";;;;
171;;Zloty;;"";;;;
174;;Guaraní;;"";;;;
177;;Leu;;"";;;;
179;;Ruble;;"";;;;
181;;Franc;;"";;;;
182;;Riyal;;"";;;;
183;$;Dollar;;"";;;;
184;;Rupee;;"";;;;
186;;Pound;;"";;;;
188;;Krona;;"";;;;
189;$;Dollar;;"";;;;
190;;Pound;;"";;;;
193;;Leone;;"";;;;
195;;Shilling;;"";;;;
196;$;Dollar;;"";;;;
198;;Pound;;"";;;;
200;;Dobra;;"";;;;
202;;Colón;;"";;;;
203;;Pound;;"";;;;
204;;Lilangeni;;"";;;;
205;฿;Baht;;"";;;;
207;;Somoni;;"";;;;
209;;Manat;;"";;;;
210;;Dinar;;"";;;;
211;;PaNULLanga;;"";;;;
214;;Lira;;"";;;;
215;$;Dollar;;"";;;;
216;;New Dollar;;"";;;;
217;;Shilling;;"";;;;
218;;Hryvnia;;"";;;;
221;;Shilling;;"";;;;
222;$;Dollar;United States dollar;"";;;;
225;;Peso;;"";;;;
226;;Som;;"";;;;
230;;Bolívar soberano;;"";;;;
231;;Dong;;"";;;;
232;;Vatu;;"";;;;
233;;Tala;;"";;;;
234;;Central African CFA Franc;;"";;;;
235;;East Caribbean Dollar;;"";;;;
236;;West African CFA Franc;;"";;;;
237;;CFP Franc / Franc Pacifique;;"";;;;
239;;Rial;;"";;;;
246;;Rand;;"";;;;
248;;Kwacha;;"";;;;
256;;Apsar;;"";;;;
257;;Pound;;"";;;;
258;;Dram;;"";;;;
259;;Pound;;"";;;;
260;$;Dollar;;"";;;;
261;$;Dollar;;"";;;;
262;;Króna;;"";;;;
263;;Pound;;"";;;;
264;;Pound;;"";;;;
265;;Pound;;"";;;;
266;$;Dollar;;"";;;;
267;;Pound;;"";;;;
268;$;Dollar;;"";;;;
269;$;Dollar;;"";;;;
270;$;Dollar;;"";;;;
271;$;Dollar;;"";;;;
272;$;Dollar;;"";;;;
273;;Peseta;;"";;;;
274;;Shilling;;"";;;;
275;;Pound;;"";;;;
276;;Ruble;;"";;;;
277;;Pound;;"";;;;
278;$;Dollar;;"";;;;
